pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
16349130;all_articles,gesichtspflege0gesichtsreinigung0gesichtswasser0mizellenwasser,gesichtspflege0gesichtsreinigung0gesichtswasser0ohne0alkohol,gesichtspflege0gesichtsreinigung0makeup0entferner,kosmetik0koerperpflege;1;abda_artikel;;;;;;;;;;;;;;;;;;03337875725910
16741649;all_articles,gesichtspflege0gesichtsoel,gesichtspflege0gesichtspflege0hauttyp0reife0haut,workflow_datenpflege,workflow_datenpflege_text_anfordern;1;abda_artikel;;;;;;;;;;;;;;;;;;04270000327674
16744748;all_articles,kind0und0familie0baby0und0kind0speziell0fuer0kinder;1;abda_artikel;;;;;;;;;;;;;;;;;;09001616719967
16744814;all_articles,kind0und0familie0mamagesundheit0stillzeit0schnuller0kirschform;1;abda_artikel;;;;;;;;;;;;;;;;;;04042894711194
05480855;all_articles,koerperpflege0koerpercreme0feuchtigkeitscreme,koerperpflege0nach0hauttypen0trockene0haut;1;abda_artikel;3348222000;3348222000;;;;;;;;;;;;;;;;04260020690285
12772541;all_articles,diabetes0diabetische0insulinversorgung0kanuele;1;abda_artikel;;;;;;;;;;;;;;;;;;05903999600334
15190934;all_articles,verbandsmaterial0binden0fixierbinde0elastische,verbandsmaterial0pflaster0fixierpflaster;1;abda_artikel;;;;;;;;;;;;;;;;;;04042809578485
04712418;all_articles,produktberater_zink_art_kombipraeparate_art_unterstuetzung,seo0zink0tabletten,zink;1;abda_artikel;;;;;;;;;;;;;;;;;;"4150047124187 "
04397678;all_articles,gesichtspflege0gesichtspflege0hauttyp0unreine0haut;1;abda_artikel;;;;;;;;;;;;;;;;;;00000042233435
04521948;all_articles,gesichtspflege0lippenpflege0lippenbalsam;1;abda_artikel;;;;;;;;;;;;;;;;;;00083078811174
06829426;adventskalender,all_articles,aromatherapie,primavera0raumbeduftung;1;abda_artikel;;;;;;;;;;;;;;;;;;04086900600478
01927064;adventskalender,all_articles,bis020eur,geschenkideen0kleine0geschenke0fuer0maenner,geschenkideen_fuer_maenner,lavera0for0men,maennerpflege0gesichtspflege,maennerpflege0koerperpflege,rat0tat0vegane0lebensweise,themenwelt0bartpflege0wochen0bei0aliva,vegane0pflege;1;abda_artikel;;;;;;;;;;;;;;;;;;04021457605828
